Pulsar ,Ref time ,f0 (~start S3 or VSR2) ,fdot ,f0 (epoch start) ,f0 (epoch stop) ,Aplus (injected),Across (injected),h0 (implied),Amax (injected),Pcal power (W),iota (implied),psi (injected),phi0_GW (injected),phi0_Rot (injected),declination (injected),right ascension (injected),Binary?
0,751680013,265.5771052,-4.15E-12,265.5754243,265.5753486,8.01E-25,7.80E-25,9.81E-25,1.12E-24,7.55E-05,0.651944875,0.770087086,2.66,1.33,-0.981180225,1.248816734,NO
1,751680013,849.0832962,-3.00E-10,848.9617832,848.9563141,2.67E-24,2.04E-24,4.39E-24,3.35E-24,0.002313307,1.088491395,0.35603553,1.28,0.64,-0.514042406,0.652645832,NO
2,751680013,575.163573,-1.37E-13,575.1635175,575.163515,1.58E-24,-1.58E-24,1.70E-24,2.24E-24,0.000707862,2.761353864,-0.221788475,4.03,0.444203673,0.060108958,3.75692884,NO
3,751680013,108.8571594,-1.46E-17,108.8571594,108.8571594,4.14E-25,-6.64E-26,8.23E-25,4.19E-25,4.75E-06,1.651549608,0.444280306,5.53,2.765,-0.583578803,3.113188712,NO
4,751680013,1403.163331,-2.54E-08,1392.875234,1392.412181,2.48E-24,1.28E-24,4.61E-24,2.80E-24,0.005189198,1.289792089,-0.647939117,4.83,0.844203673,-0.217583646,4.886706854,NO
5,751680013,52.80832436,-4.03E-18,52.80832436,52.80832436,8.89E-25,6.78E-25,1.46E-24,1.12E-24,2.98E-06,1.089456397,-0.363953188,2.23,2.685796327,-1.463269033,5.281831296,NO
6,751680013,148.7190257,-6.73E-09,145.9930849,145.8703943,4.55E-25,-1.37E-25,8.89E-25,4.75E-25,9.69E-06,1.725141287,0.470984879,0.97,0.485,-1.14184021,6.261385269,NO
7,751680013,1220.979581,-1.12E-09,1220.525933,1220.505515,3.63E-24,3.49E-24,4.61E-24,5.03E-24,0.007172034,0.712371355,0.512322887,5.25,2.625,-0.356930834,3.899512716,NO
8,751680013,194.3083185,-8.65E-09,190.8046948,190.6470018,5.53E-25,8.13E-26,1.10E-24,5.59E-25,1.95E-05,1.496826234,0.170470927,5.89,2.945,-0.583263151,6.132905166,NO
9,751680013,763.8473165,-1.45E-17,763.8473165,763.8473165,2.08E-24,-1.86E-24,3.01E-24,2.80E-24,0.00156059,2.238503732,-0.008560279,1.01,2.075796327,1.321032538,3.471208243,NO
10,930582085,26.3589129,-8.50E-11,26.3396909,26.33814132,3.95E-24,-3.95E-24,4.00E-24,5.59E-24,3.71E-06,2.98490536,0.614650979,0.116261819,0.05813091,0.748350133,3.866875487,NO
11,930582085,31.4248598,-5.07E-13,31.42474515,31.4247359,3.12E-24,-1.86E-24,5.64E-24,3.63E-24,3.43E-06,1.906452173,0.411700743,5.161053426,2.580526713,-1.017039902,4.975887158,NO
12,930582085,39.7276097,-6.25E-09,38.31422763,38.20028763,1.67E-24,1.47E-25,3.33E-24,1.68E-24,2.36E-06,1.526758949,-0.068380432,2.794153645,2.967873149,-0.296232668,5.791921714,NO
13,930582085,12.43,-1.00E-11,12.42773859,12.42755628,1.12E-22,0,2.24E-22,1.12E-22,1.65E-05,1.570796327,0,0.25,0.125,0.25,0.25,NO
14,930582085,1991.0926,-1.00E-12,1991.092374,1991.092356,1.68E-24,0,3.35E-24,1.68E-24,0.006362238,1.570796327,1,1.25,0.625,-0.25,5.25,NO
