Pulsar	Ref_time	fdot	f0	H0	iota	psi	phi0	dec	ra	Binary
0	1230336018	-4.15E-12	265.575118777579	6.97631575270798E-26	0.651944874871562	0.770087086	2.66	-0.981180225	1.248816734	NO
1	1230336018	-3E-10	848.9396993985	4.18399175872002E-25	1.0884913945749	0.35603553	1.28	-0.514042406	0.652645832	NO
2	1230336018	-1.37E-13	575.163507424127	9.98334840473728E-26	2.76135386361026	-0.221788475	4.03	0.060108958	3.75692884	NO
3	1230336018	-1.46E-17	108.857159393012	6.61547183446446E-26	1.65154960827344	0.444280306	5.53	-0.583578803	3.113188712	NO
4	1230336018	-2.54E-08	1391.005468473	6.46616908165821E-25	1.28979208946189	-0.647939117	4.83	-0.217583646	4.886706854	NO
5	1230336018	-4.03E-18	52.808324358071	3.04290309725092E-25	1.08945639689448	-0.363953188	2.23	-1.463269033	5.281831296	NO
6	1230336018	-6.73E-09	145.49767078635	2.05395959064437E-25	1.72514128683406	0.470984879	0.97	-1.14184021	6.261385269	NO
7	1230336018	-1.12E-09	1220.4434862744	1.80421959121758E-25	0.712371354539075	0.512322887	5.25	-0.356930834	3.899512716	NO
8	1230336018	-8.65E-09	190.16794405675	6.61547183446446E-26	1.49682623373017	0.170470927	5.89	-0.583263151	6.132905166	NO
9	1230336018	-1.45E-17	763.84731649306	1.20281306081172E-25	2.23850373236708	-0.008560279	1.01	1.321032538	3.471208243	NO
10	1230336018	-8.5E-11	26.333433815695	8.74834640459641E-25	2.98490535950159	0.61465097870534	0.11626181938654	0.74835013347064	3.86687548714555	NO
11	1230336018	-5.07E-13	31.424707824756	2.04478220337992E-25	1.9064521730638	0.41170074258401	5.16105342591198	-1.01703990217401	4.97588715777288	NO
12	1230336018	-6.25E-09	37.85414761875	1.32309436689289E-25	1.52675894938708	-0.06838043165037	2.79415364495732	-0.29623266832328	5.79192171375131	NO
13	1230336018	-1E-11	12.42700246067	1.32309436689289E-24	1.5707963267949	0	0.25	0.25	0.25	NO
14	1230336018	-1E-12	1991.09230024607	9.12870929175277E-25	1.5707963267949	1	1.25	-0.25	5.25	NO
15	1230336018	-1E-12	2991.09230024607	4.33012701892219E-25	1.5707963267949	1	1.25	-0.25	5.25	NO
16	1230336018	0	234.567	1.6693112352105E-25	0.759822221951576	4.084	0	-0.2729743	0.3487022	YES
17	1230336018	0	890.123	8.7782971013745E-26	0.767586619895361	4.084	0	-0.2729743	1.9194985	YES

